Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,3,79,3,Some Random Commen with Id 0
1,0,3,43,0,Some Random Commen with Id 1
2,0,3,74,2,Some Random Commen with Id 2
3,0,3,172,0,Some Random Commen with Id 3
4,0,3,180,0,Some Random Commen with Id 4
5,0,3,183,3,Some Random Commen with Id 5
6,0,3,100,3,Some Random Commen with Id 6
7,0,3,23,4,Some Random Commen with Id 7
8,1,0,106,8,Some Random Commen with Id 8
9,1,0,183,0,Some Random Commen with Id 9
10,1,0,13,1,Some Random Commen with Id 10
11,1,0,165,7,Some Random Commen with Id 11
12,1,0,69,1,Some Random Commen with Id 12
13,1,0,55,3,Some Random Commen with Id 13
14,1,0,32,2,Some Random Commen with Id 14
15,1,0,70,6,Some Random Commen with Id 15
16,1,0,138,4,Some Random Commen with Id 16
17,2,5,116,8,Some Random Commen with Id 17
18,2,5,67,9,Some Random Commen with Id 18
19,2,5,142,0,Some Random Commen with Id 19
20,2,5,100,0,Some Random Commen with Id 20
21,2,5,101,3,Some Random Commen with Id 21
22,4,6,97,8,Some Random Commen with Id 22
23,4,6,108,4,Some Random Commen with Id 23
24,4,6,145,2,Some Random Commen with Id 24
25,4,6,192,3,Some Random Commen with Id 25
26,4,6,195,4,Some Random Commen with Id 26
27,4,6,115,5,Some Random Commen with Id 27
28,4,6,96,7,Some Random Commen with Id 28
29,4,6,128,7,Some Random Commen with Id 29
30,5,0,179,5,Some Random Commen with Id 30
31,5,0,166,4,Some Random Commen with Id 31
32,5,0,198,5,Some Random Commen with Id 32
33,5,0,53,0,Some Random Commen with Id 33
34,5,0,173,2,Some Random Commen with Id 34
35,6,2,48,9,Some Random Commen with Id 35
36,6,2,92,5,Some Random Commen with Id 36
37,6,2,190,8,Some Random Commen with Id 37
38,6,2,99,5,Some Random Commen with Id 38
39,6,2,21,5,Some Random Commen with Id 39
40,6,2,1,0,Some Random Commen with Id 40
41,7,8,104,9,Some Random Commen with Id 41
42,7,8,26,9,Some Random Commen with Id 42
43,7,8,176,8,Some Random Commen with Id 43
44,7,8,199,2,Some Random Commen with Id 44
45,8,4,10,8,Some Random Commen with Id 45
46,8,4,177,5,Some Random Commen with Id 46
47,8,4,145,6,Some Random Commen with Id 47
48,8,4,164,3,Some Random Commen with Id 48
49,8,4,29,4,Some Random Commen with Id 49
50,8,4,156,5,Some Random Commen with Id 50
51,9,9,94,6,Some Random Commen with Id 51
52,9,9,137,8,Some Random Commen with Id 52
53,9,9,133,3,Some Random Commen with Id 53
54,9,9,68,3,Some Random Commen with Id 54
55,10,2,171,8,Some Random Commen with Id 55
56,11,0,35,2,Some Random Commen with Id 56
57,11,0,13,7,Some Random Commen with Id 57
58,11,0,119,3,Some Random Commen with Id 58
59,11,0,173,4,Some Random Commen with Id 59
60,11,0,158,6,Some Random Commen with Id 60
61,11,0,97,4,Some Random Commen with Id 61
62,11,0,179,1,Some Random Commen with Id 62
63,11,0,181,0,Some Random Commen with Id 63
64,12,6,151,0,Some Random Commen with Id 64
65,12,6,168,2,Some Random Commen with Id 65
66,12,6,2,1,Some Random Commen with Id 66
67,12,6,116,7,Some Random Commen with Id 67
68,12,6,162,7,Some Random Commen with Id 68
69,12,6,24,3,Some Random Commen with Id 69
70,13,3,51,0,Some Random Commen with Id 70
71,13,3,18,1,Some Random Commen with Id 71
72,13,3,64,0,Some Random Commen with Id 72
73,13,3,5,4,Some Random Commen with Id 73
74,13,3,89,1,Some Random Commen with Id 74
75,14,4,103,7,Some Random Commen with Id 75
76,14,4,74,3,Some Random Commen with Id 76
77,14,4,45,7,Some Random Commen with Id 77
78,14,4,96,1,Some Random Commen with Id 78
79,15,3,157,4,Some Random Commen with Id 79
80,16,2,125,2,Some Random Commen with Id 80
81,16,2,141,4,Some Random Commen with Id 81
82,16,2,100,8,Some Random Commen with Id 82
83,16,2,59,5,Some Random Commen with Id 83
84,16,2,162,2,Some Random Commen with Id 84
85,16,2,194,7,Some Random Commen with Id 85
86,16,2,108,3,Some Random Commen with Id 86
87,16,2,68,0,Some Random Commen with Id 87
88,16,2,175,5,Some Random Commen with Id 88
89,17,5,104,6,Some Random Commen with Id 89
90,17,5,183,9,Some Random Commen with Id 90
91,17,5,79,1,Some Random Commen with Id 91
92,17,5,109,0,Some Random Commen with Id 92
93,17,5,146,7,Some Random Commen with Id 93
94,18,4,6,7,Some Random Commen with Id 94
95,18,4,181,3,Some Random Commen with Id 95
96,19,4,118,9,Some Random Commen with Id 96
97,19,4,161,1,Some Random Commen with Id 97
98,19,4,89,0,Some Random Commen with Id 98
99,19,4,48,1,Some Random Commen with Id 99
100,19,4,189,3,Some Random Commen with Id 100
101,21,0,59,7,Some Random Commen with Id 101
102,21,0,78,1,Some Random Commen with Id 102
103,22,4,171,4,Some Random Commen with Id 103
104,22,4,109,4,Some Random Commen with Id 104
105,23,4,105,3,Some Random Commen with Id 105
106,23,4,180,3,Some Random Commen with Id 106
107,23,4,179,2,Some Random Commen with Id 107
108,24,8,155,1,Some Random Commen with Id 108
109,24,8,80,2,Some Random Commen with Id 109
110,24,8,59,9,Some Random Commen with Id 110
111,24,8,54,3,Some Random Commen with Id 111
112,24,8,111,0,Some Random Commen with Id 112
113,25,9,15,5,Some Random Commen with Id 113
114,25,9,16,6,Some Random Commen with Id 114
115,25,9,101,7,Some Random Commen with Id 115
116,26,6,82,8,Some Random Commen with Id 116
117,26,6,120,4,Some Random Commen with Id 117
118,26,6,187,4,Some Random Commen with Id 118
119,27,3,48,0,Some Random Commen with Id 119
120,27,3,74,8,Some Random Commen with Id 120
121,27,3,13,5,Some Random Commen with Id 121
122,28,5,130,0,Some Random Commen with Id 122
123,28,5,197,7,Some Random Commen with Id 123
124,28,5,69,8,Some Random Commen with Id 124
125,30,7,31,0,Some Random Commen with Id 125
126,30,7,108,5,Some Random Commen with Id 126
127,30,7,43,8,Some Random Commen with Id 127
128,30,7,44,3,Some Random Commen with Id 128
129,30,7,42,6,Some Random Commen with Id 129
130,30,7,94,2,Some Random Commen with Id 130
131,30,7,177,7,Some Random Commen with Id 131
132,30,7,13,1,Some Random Commen with Id 132
133,31,6,18,5,Some Random Commen with Id 133
134,31,6,47,8,Some Random Commen with Id 134
135,31,6,56,2,Some Random Commen with Id 135
136,31,6,133,0,Some Random Commen with Id 136
137,31,6,31,0,Some Random Commen with Id 137
138,31,6,123,6,Some Random Commen with Id 138
139,31,6,144,6,Some Random Commen with Id 139
140,32,5,80,5,Some Random Commen with Id 140
141,32,5,37,1,Some Random Commen with Id 141
142,33,2,192,9,Some Random Commen with Id 142
143,37,8,102,8,Some Random Commen with Id 143
144,37,8,64,4,Some Random Commen with Id 144
145,37,8,163,1,Some Random Commen with Id 145
146,38,1,34,4,Some Random Commen with Id 146
147,38,1,172,9,Some Random Commen with Id 147
148,38,1,143,8,Some Random Commen with Id 148
149,38,1,144,1,Some Random Commen with Id 149
150,38,1,126,5,Some Random Commen with Id 150
151,38,1,149,6,Some Random Commen with Id 151
152,38,1,18,3,Some Random Commen with Id 152
153,39,5,109,4,Some Random Commen with Id 153
